product_id,normalized_text,final_candidate_mnn,final_mnn_method,mnn_resolution_status,mnn_enrichment_status,needs_human_review,label_mnn,label_notes
9197,ПОМОГУША СИРОП ДЕТСКИЙ ДЛЯ ДЕТЕЙ С 3-Х ЛЕТ ПРОТИВОПРОСТУДНЫЙ 100МЛ | ЮГ ООО | ЮГ ООО,,,unresolved_catalog,ok,True,,
9941,ПАРОДОНТОЦИД ОПОЛАСКИВАТЕЛЬ ДЛЯ ПОЛОСТИ РТА 250МЛ | МОСКОВСКАЯ ФФ | МОСКОВСКАЯ ФФ,,,unresolved_catalog,ok_partial,True,,
11272,НООТРОП КАПС. №48 | ВИС ООО | ВИС ООО,,,unresolved_catalog,ok,True,,
12389,"МЯТЫ ПЕРЕЧНОЙ ЛИСТЬЯ Ф/П 1,5Г №20 ЗДОРОВЬЕ | ЗДОРОВЬЕ ФИРМА ООО | ЗДОРОВЬЕ ФИРМА ООО",,,unresolved_catalog,ok_partial,True,,
18179,КАЛЬЦИЯ ГЛЮКОНАТ ЭКО ТАБЛ. ПО 500МГ №10 | ЭКОТЕКС ООО | ЭКОТЕКС ООО,,,unresolved_catalog,ok,True,,
18830,ИЗЖОГАНЕТ АНТАЦИДНЫЙ КОМПЛЕКС СО ВКУСОМ МЯТЫ ТАБЛ. 600МГ №40 | ГРИН САЙД ООО | ГРИН САЙД ООО,,,unresolved_catalog,ok,True,,
19198,ЗВЕРОБОЯ ТРАВА 50Г ФИТОФАРМ | ФИТОФАРМ ООО | ФИТОФАРМ ООО,,,unresolved_catalog,ok_partial,True,,
21387,ГЕПАВИЗИМ ФОСФОЛИПИДЫ+L-ОРИНИТИН+КУРКУМИН КАПС. ПО 495МГ №30 | ВТФ ООО | ВТФ ООО,,,unresolved_catalog,ok,True,,
22548,ВЕЧЕРНЕЕ ВАЛЕРИАНА+МЯТА+МЕЛИССА ДРАЖЕ №50 ПАРАФАРМ | ПАРАФАРМ ООО | ПАРАФАРМ ООО,,,unresolved_catalog,ok,True,,
23695,БИОРИТМ АНТИСТРЕСС 24 ДЕНЬ/НОЧЬ ТАБЛ. П/О №32 | ЭВАЛАР ЗАО | ЭВАЛАР ЗАО,,,unresolved_catalog,ok,True,,
26319,"АЛТАЙ ФИТОЧАЙ КИПРЕЯ ТРАВА Ф/П 1,5Г №20 | АЛТАЙСКИЙ КЕДР ООО | АЛТАЙСКИЙ КЕДР ООО",,,unresolved_catalog,ok,True,,
9993,ПАРАЦЕТАМОЛ ТАБЛ. 500МГ №10 ОЗОН | ОЗОН ООО | ОЗОН ООО,Парацетамол,enrichment,unresolved_catalog,ok,False,,
9996,ПАРАЦЕТАМОЛ СУСП. Д/ПРИЕМА ВНУТРЬ ДЛЯ ДЕТЕЙ 120МГ/5МЛ ФЛ. 100МЛ СИНТЕЗ | СИНТЕЗ | СИНТЕЗ,Парацетамол,enrichment,unresolved_catalog,ok,False,,
10005,ПАРАЦЕТАМОЛ РЕНЕВАЛ ТАБЛ. 500МГ №20 | ОБНОВЛЕНИЕ ПФК АО | ОБНОВЛЕНИЕ ПФК АО,Парацетамол,enrichment,unresolved_catalog,ok,False,,
10009,ПАРАЦЕТАМОЛ ДЕТСКИЙ СУСП. Д/ПРИЕМА ВНУТРЬ МАЛИНА 120МГ/5МЛ ФЛ. 100Г ФАРМСТАНДАРТ | ФАРМСТАНДАРТ-ЛЕКСРЕДСТВА ОАО | ФАРМСТАНДАРТ-ЛЕКСРЕДСТВА ОАО,Парацетамол,enrichment,unresolved_catalog,ok,False,,
10097,ПАНТОКАЛЬЦИН ТАБЛ. 500МГ №50 | ВАЛЕНТА ФАРМ АО | ВАЛЕНТА ФАРМ АО,Гопантеновая кислота,enrichment,unresolved_catalog,ok,False,,
12495,МУКОСАТ МАЗЬ Д/НАРУЖ. ПРИМ. 5% ТУБА 30Г | ЗЕЛЕНАЯ ДУБРАВА ЗАО | ЗЕЛЕНАЯ ДУБРАВА ЗАО,Хондроитина Сульфат Натрия,enrichment,unresolved_catalog,ok,False,,
13533,МЕЛЬДОНИЙ КАПС. 500МГ №60 ФАРМСТАНДАРТ | ФАРМСТАНДАРТ-ЛЕКСРЕДСТВА ОАО | ФАРМСТАНДАРТ-ЛЕКСРЕДСТВА ОАО,Мельдоний,enrichment,unresolved_catalog,ok,False,,
