product_id,normalized_text,previous_final_candidate_mnn,new_final_candidate_mnn,previous_final_mnn_method,new_final_mnn_method,previous_status,new_status,identity_gate_effect,rejected_source_count,reason
3065,ФЛУКОНАЗОЛ-OBL КАПС. 150МГ №4 | ОБОЛЕНСКОЕ ФП АО | ОБОЛЕНСКОЕ ФП АО,Флуконазол,Флуконазол,catalog_consensus,catalog_consensus,resolved_catalog,resolved_catalog,unchanged,0,consensus
3556,"ФИЗИОТЕНЗ ТАБЛ. П/ПЛЕН/ОБ. 0,4МГ №28 ВЕРОФАРМ | ВЕРОФАРМ АО | ВЕРОФАРМ АО",Моксонидин,,catalog_consensus,unresolved,resolved_catalog,unresolved_catalog,catalog_accept_removed,2,single_source
3759,ФАСПИК ГРАН. Д/Р-РА Д/ПРИЕМА ВНУТРЬ АБРИКОС 400МГ ПАК. 3Г №12 | ЗАМБОН СВИТЦЕЛАНД ЛТД. | ЗАМБОН СВИТЦЕЛАНД ЛТД.,Ибупрофен,,catalog_consensus,unresolved,resolved_catalog,unresolved_catalog,catalog_accept_removed,0,single_source
3763,ФАРМГРУПП НАСТОЙКА 5 ТРАВ УСПОКОИТЕЛЬНАЯ ФЛ. 250МЛ | ФАРМГРУПП ООО | ФАРМГРУПП ООО,,,,unresolved,unresolved_catalog,unresolved_catalog,method_changed,3,empty
3781,ФАРИНГОСЕПТ ТАБЛ. Д/РАССАС. МЕД-ЛИМОН 10МГ №20 | C.К. ТЕРАПИЯ С.А. | C.К. ТЕРАПИЯ С.А.,Амбазон,,catalog_consensus,unresolved,resolved_catalog,unresolved_catalog,catalog_accept_removed,2,single_source
4133,УЛЬЦЕРНИЛ ТАБЛ. КИШ/РАСТ. П/ПЛЕН/ОБ. 20МГ №28 | САН ФАРМАСЬЮТИКАЛ ИНДАСТРИЗ ЛТД | САН ФАРМАСЬЮТИКАЛ ИНДАСТРИЗ ЛТД,Рабепразол,,catalog_consensus,unresolved,resolved_catalog,unresolved_catalog,catalog_accept_removed,0,single_source
4403,ТРИМЕТАЗИДИН-АКОС МВ 35МГ ТАБЛ. МОДИФ. ВЫСВ. П/О №60 | БИОКОМ ЗАО | БИОКОМ ЗАО,Триметазидин,,catalog_consensus,unresolved,resolved_catalog,unresolved_catalog,catalog_accept_removed,2,single_source
4481,ТРАНЕКСАМОВАЯ КИСЛОТА ТАБЛ. П/ПЛЕН/ОБ. 250МГ №30 МЭЗ | МОСКОВСКИЙ ЭНДОКРИННЫЙ ЗАВОД ФГУП | МОСКОВСКИЙ ЭНДОКРИННЫЙ ЗАВОД ФГУП,Транексамовая кислота,,catalog_consensus,unresolved,resolved_catalog,unresolved_catalog,catalog_accept_removed,1,single_source
4487,ТРАНЕКСАМОВАЯ КИСЛОТА Р-Р ДЛЯ В/В ВВЕД. 50МГ/МЛ АМП. 5МЛ №10 МЭЗ | МОСКОВСКИЙ ЭНДОКРИННЫЙ ЗАВОД ФГУП | МОСКОВСКИЙ ЭНДОКРИННЫЙ ЗАВОД ФГУП,Транексамовая кислота,,catalog_consensus,unresolved,resolved_catalog,unresolved_catalog,catalog_accept_removed,1,single_source
4570,ТОРАСЕМИД ТАБЛ. 5МГ №60 ПРАНАФАРМ | ПРАНАФАРМ ООО | ПРАНАФАРМ ООО,Торасемид,Торасемид,enrichment,input_plus_enrichment,unresolved_catalog,resolved_enrichment,method_changed,3,empty
4593,ТОРАСЕМИД ТАБЛ. 10МГ №20 ОЗОН | ОЗОН ООО | ОЗОН ООО,Торасемид,Торасемид,catalog_consensus,input_explicit_mnn,resolved_catalog,resolved_input_explicit,catalog_accept_removed,1,single_source
4602,ТОРАСЕМИД МЕДИСОРБ ТАБЛ. 5МГ №20 | Медисорб АО | Медисорб АО,Торасемид,Торасемид,enrichment,input_plus_enrichment,unresolved_catalog,resolved_enrichment,method_changed,4,empty
4684,ТОЛПЕРИЗОН ТАБЛ. П/ПЛЕН/ОБ. 150МГ №30 ОЗОН | ОЗОН ООО | ОЗОН ООО,Толперизон,Толперизон,catalog_consensus,input_explicit_mnn,resolved_catalog,resolved_input_explicit,catalog_accept_removed,1,single_source
4922,ТЕРМИКОН СПРЕЙ Д/НАРУЖ. ПРИМ. 1% ФЛ. 30Г | ФАРМСТАНДАРТ-ЛЕКСРЕДСТВА ОАО | ФАРМСТАНДАРТ-ЛЕКСРЕДСТВА ОАО,Тербинафин,,catalog_consensus,unresolved,resolved_catalog,unresolved_catalog,catalog_accept_removed,3,empty
4924,ТЕРМИКОН КРЕМ Д/НАРУЖ. ПРИМ. 1% ТУБА 15Г | ЛЕККО ЗАО | ЛЕККО ЗАО,Тербинафин,,catalog_consensus,unresolved,resolved_catalog,unresolved_catalog,catalog_accept_removed,3,empty
5010,ТЕРАФЛЕКС КАПС. 500МГ+400МГ №200 МАКИЗ-ФАРМА | МАКИЗ-ФАРМА | МАКИЗ-ФАРМА,"Глюкозамин, Хондроитин сульфат, Хондроитина сульфат",,catalog_consensus,unresolved,resolved_catalog,unresolved_catalog,catalog_accept_removed,2,empty
5258,"ТАМСУЛОЗИН КАНОН КАПС. КИШ/РАСТ. ПРОЛОНГ. ВЫСВ. 0,4МГ №30 | КАНОНФАРМА ПРОДАКШН ЗАО | КАНОНФАРМА ПРОДАКШН ЗАО",Тамсулозин,,catalog_consensus,unresolved,resolved_catalog,unresolved_catalog,catalog_accept_removed,2,single_source
