product_id,normalized_text,normalized_text_full_v4,product_identity_text_v4,enrichment_query_text_v4,source_char_count,full_v4_char_count,identity_v4_char_count,query_v4_char_count,has_manufacturer_dup_before,manufacturer_dedup_count_v4,has_pack_dup_before,pack_dedup_count_v4,brand_or_product_name_v4,dosage_form_v4,strength_v4,pack_v4,manufacturer_v4,normalization_flags_v4,normalization_warnings_v4,safety_flags_v4
3027,ФЛУОКСЕТИН КАПС. 10МГ №20 ОЗОН | ОЗОН ООО | ОЗОН ООО,ФЛУОКСЕТИН; капсулы; 10 мг; N20; производитель: ОЗОН ООО,Флуоксетин; капсулы; 10 мг; N20; ОЗОН ООО,Флуоксетин капсулы 10 мг N20,52,56,41,28,true,2,false,0,Флуоксетин,капсулы,10 мг,N20,ОЗОН ООО,manufacturer_deduped,,
3065,ФЛУКОНАЗОЛ-OBL КАПС. 150МГ №4 | ОБОЛЕНСКОЕ ФП АО | ОБОЛЕНСКОЕ ФП АО,ФЛУКОНАЗОЛ-OBL; капсулы; 150 мг; N4; производитель: ОБОЛЕНСКОЕ ФП АО,Флуконазол-OBL; капсулы; 150 мг; N4; ОБОЛЕНСКОЕ ФП АО,Флуконазол-OBL капсулы 150 мг N4,67,68,53,32,true,1,false,0,Флуконазол-OBL,капсулы,150 мг,N4,ОБОЛЕНСКОЕ ФП АО,manufacturer_deduped,,
3556,"ФИЗИОТЕНЗ ТАБЛ. П/ПЛЕН/ОБ. 0,4МГ №28 ВЕРОФАРМ | ВЕРОФАРМ АО | ВЕРОФАРМ АО","ФИЗИОТЕНЗ; таблетки, покрытые пленочной оболочкой; 0.4 мг; N28; производитель: ВЕРОФАРМ АО",Физиотенз; таблетки; 0.4 мг; N28; ВЕРОФАРМ АО,Физиотенз таблетки 0.4 мг N28,73,90,45,29,true,2,false,0,Физиотенз,таблетки,0.4 мг,N28,ВЕРОФАРМ АО,manufacturer_deduped,,
3759,ФАСПИК ГРАН. Д/Р-РА Д/ПРИЕМА ВНУТРЬ АБРИКОС 400МГ ПАК. 3Г №12 | ЗАМБОН СВИТЦЕЛАНД ЛТД. | ЗАМБОН СВИТЦЕЛАНД ЛТД.,"ФАСПИК; гранулы, для приготовления раствора для приема внутрь; 400 мг; 3 г; N12; АБРИКОС; производитель: ЗАМБОН СВИТЦЕЛАНД ЛТД.",Фаспик; порошок; 400 мг; N12; ЗАМБОН СВИТЦЕЛАНД ЛТД.,Фаспик порошок 400 мг N12,111,127,52,25,true,1,false,0,Фаспик,порошок,400 мг,N12,ЗАМБОН СВИТЦЕЛАНД ЛТД.,parse_ambiguous|manufacturer_deduped,гранулы mapped toward порошок; raw kept in display,ambiguous_parse
3763,ФАРМГРУПП НАСТОЙКА 5 ТРАВ УСПОКОИТЕЛЬНАЯ ФЛ. 250МЛ | ФАРМГРУПП ООО | ФАРМГРУПП ООО,ФАРМГРУПП; настойка; 250 мл; 5 ТРАВ УСПОКОИТЕЛЬНАЯ; производитель: ФАРМГРУПП ООО,Фармгрупп; настойка; [missing_strength]; 250 мл; ФАРМГРУПП ООО,Фармгрупп настойка 250 мл,82,80,62,25,true,1,false,0,Фармгрупп,настойка,,250 мл,ФАРМГРУПП ООО,missing_strength|manufacturer_deduped|parse_ambiguous,no strength token extracted; unclassified head remnant retained: 5 ТРАВ УСПОКОИТЕЛЬНАЯ,ambiguous_parse
3781,ФАРИНГОСЕПТ ТАБЛ. Д/РАССАС. МЕД-ЛИМОН 10МГ №20 | C.К. ТЕРАПИЯ С.А. | C.К. ТЕРАПИЯ С.А.,"ФАРИНГОСЕПТ; таблетки, для рассасывания; 10 мг; N20; МЕД-ЛИМОН; производитель: C.К. ТЕРАПИЯ С.А.",Фарингосепт; таблетки; 10 мг; N20; C.К. ТЕРАПИЯ С.А.,Фарингосепт таблетки 10 мг N20,86,96,52,30,true,1,false,0,Фарингосепт,таблетки,10 мг,N20,C.К. ТЕРАПИЯ С.А.,manufacturer_deduped,,
4133,УЛЬЦЕРНИЛ ТАБЛ. КИШ/РАСТ. П/ПЛЕН/ОБ. 20МГ №28 | САН ФАРМАСЬЮТИКАЛ ИНДАСТРИЗ ЛТД | САН ФАРМАСЬЮТИКАЛ ИНДАСТРИЗ ЛТД,"УЛЬЦЕРНИЛ; таблетки, кишечнорастворитые, покрытые пленочной оболочкой; 20 мг; N28; производитель: САН ФАРМАСЬЮТИКАЛ ИНДАСТРИЗ ЛТД",Ульцернил; таблетки; 20 мг; N28; САН ФАРМАСЬЮТИКАЛ ИНДАСТРИЗ ЛТД,Ульцернил таблетки 20 мг N28,113,129,64,28,true,1,false,0,Ульцернил,таблетки,20 мг,N28,САН ФАРМАСЬЮТИКАЛ ИНДАСТРИЗ ЛТД,manufacturer_deduped,,
4403,ТРИМЕТАЗИДИН-АКОС МВ 35МГ ТАБЛ. МОДИФ. ВЫСВ. П/О №60 | БИОКОМ ЗАО | БИОКОМ ЗАО,"ТРИМЕТАЗИДИН-АКОС МВ; таблетки, покрытые оболочкой, с пролонгированным высвобождением; 35 мг; N60; производитель: БИОКОМ ЗАО",Триметазидин-Акос МВ; таблетки; 35 мг; N60; БИОКОМ ЗАО,Триметазидин-Акос МВ таблетки 35 мг N60,78,124,54,39,true,1,false,0,Триметазидин-Акос МВ,таблетки,35 мг,N60,БИОКОМ ЗАО,manufacturer_deduped,,
4481,ТРАНЕКСАМОВАЯ КИСЛОТА ТАБЛ. П/ПЛЕН/ОБ. 250МГ №30 МЭЗ | МОСКОВСКИЙ ЭНДОКРИННЫЙ ЗАВОД ФГУП | МОСКОВСКИЙ ЭНДОКРИННЫЙ ЗАВОД ФГУП,"ТРАНЕКСАМОВАЯ КИСЛОТА; таблетки, покрытые пленочной оболочкой; 250 мг; N30; производитель: МОСКОВСКИЙ ЭНДОКРИННЫЙ ЗАВОД ФГУП",Транексамовая Кислота; таблетки; 250 мг; N30; МОСКОВСКИЙ ЭНДОКРИННЫЙ ЗАВОД ФГУП,Транексамовая Кислота таблетки 250 мг N30,124,124,79,41,true,2,false,0,Транексамовая Кислота,таблетки,250 мг,N30,МОСКОВСКИЙ ЭНДОКРИННЫЙ ЗАВОД ФГУП,manufacturer_deduped,,
4487,ТРАНЕКСАМОВАЯ КИСЛОТА Р-Р ДЛЯ В/В ВВЕД. 50МГ/МЛ АМП. 5МЛ №10 МЭЗ | МОСКОВСКИЙ ЭНДОКРИННЫЙ ЗАВОД ФГУП | МОСКОВСКИЙ ЭНДОКРИННЫЙ ЗАВОД ФГУП,"ТРАНЕКСАМОВАЯ КИСЛОТА; раствор, для инъекций; 50 мг/мл; 5 мл; N10; производитель: МОСКОВСКИЙ ЭНДОКРИННЫЙ ЗАВОД ФГУП",Транексамовая Кислота; раствор; 50 мг/мл; N10; МОСКОВСКИЙ ЭНДОКРИННЫЙ ЗАВОД ФГУП,Транексамовая Кислота раствор 50 мг/мл N10,136,115,80,42,true,2,false,0,Транексамовая Кислота,раствор,50 мг/мл,N10,МОСКОВСКИЙ ЭНДОКРИННЫЙ ЗАВОД ФГУП,manufacturer_deduped,,
4593,ТОРАСЕМИД ТАБЛ. 10МГ №20 ОЗОН | ОЗОН ООО | ОЗОН ООО,ТОРАСЕМИД; таблетки; 10 мг; N20; производитель: ОЗОН ООО,Торасемид; таблетки; 10 мг; N20; ОЗОН ООО,Торасемид таблетки 10 мг N20,51,56,41,28,true,2,false,0,Торасемид,таблетки,10 мг,N20,ОЗОН ООО,manufacturer_deduped,,
