normalized_text,attr_mnn,attr_rx_otc,mnn_uteka,rx_uteka,mnn_asna,rx_asna,mnn_apteka,rx_apteka,mnn_vidal,rx_vidal,mnn_stolichki,rx_stolichki,win_mnn,win_rx_otc
ФЛУКОНАЗОЛ-OBL КАПС. 150МГ №4 | ОБОЛЕНСКОЕ ФП АО | ОБОЛЕНСКОЕ ФП АО,Флуконазол,rx,Флуконазол,otc,Флуконазол,otc,Флуконазол,,Флуконазол,otc,,,Флуконазол,otc
"ФИЗИОТЕНЗ ТАБЛ. П/ПЛЕН/ОБ. 0,4МГ №28 ВЕРОФАРМ | ВЕРОФАРМ АО | ВЕРОФАРМ АО",Моксонидин,rx,Моксонидин,rx,Моксонидин,rx,Моксонидин,rx,Моксонидин,rx,,,Моксонидин,rx
ФАСПИК ГРАН. Д/Р-РА Д/ПРИЕМА ВНУТРЬ АБРИКОС 400МГ ПАК. 3Г №12 | ЗАМБОН СВИТЦЕЛАНД ЛТД. | ЗАМБОН СВИТЦЕЛАНД ЛТД.,,otc,Ибупрофен,otc,,,,,Ибупрофен,otc,,,Ибупрофен,otc
ФАРМГРУПП НАСТОЙКА 5 ТРАВ УСПОКОИТЕЛЬНАЯ ФЛ. 250МЛ | ФАРМГРУПП ООО | ФАРМГРУПП ООО,,otc,,,,otc,Осина,,,,,,Осина,
ФАРИНГОСЕПТ ТАБЛ. Д/РАССАС. МЕД-ЛИМОН 10МГ №20 | C.К. ТЕРАПИЯ С.А. | C.К. ТЕРАПИЯ С.А.,Амбазон,otc,Амбазон,otc,Амбазон,otc,Амбазон,,Амбазон,otc,,,Амбазон,otc
УЛЬЦЕРНИЛ ТАБЛ. КИШ/РАСТ. П/ПЛЕН/ОБ. 20МГ №28 | САН ФАРМАСЬЮТИКАЛ ИНДАСТРИЗ ЛТД | САН ФАРМАСЬЮТИКАЛ ИНДАСТРИЗ ЛТД,,rx,Рабепразол,otc,,,,,Рабепразол,otc,,,Рабепразол,otc
ТРИМЕТАЗИДИН-АКОС МВ 35МГ ТАБЛ. МОДИФ. ВЫСВ. П/О №60 | БИОКОМ ЗАО | БИОКОМ ЗАО,Триметазидин,rx,Триметазидин,rx,Триметазидин,rx,Триметазидин,rx,Триметазидин,rx,,,Триметазидин,rx
ТРАНЕКСАМОВАЯ КИСЛОТА ТАБЛ. П/ПЛЕН/ОБ. 250МГ №30 МЭЗ | МОСКОВСКИЙ ЭНДОКРИННЫЙ ЗАВОД ФГУП | МОСКОВСКИЙ ЭНДОКРИННЫЙ ЗАВОД ФГУП,Транексамовая кислота,rx,Транексамовая кислота,rx,,,Транексамовая кислота,rx,,,,,Транексамовая кислота,rx
ТРАНЕКСАМОВАЯ КИСЛОТА Р-Р ДЛЯ В/В ВВЕД. 50МГ/МЛ АМП. 5МЛ №10 МЭЗ | МОСКОВСКИЙ ЭНДОКРИННЫЙ ЗАВОД ФГУП | МОСКОВСКИЙ ЭНДОКРИННЫЙ ЗАВОД ФГУП,Транексамовая кислота,rx,Транексамовая кислота,rx,,,Транексамовая кислота,rx,,,,,Транексамовая кислота,rx
ТОРАСЕМИД ТАБЛ. 5МГ №60 ПРАНАФАРМ | ПРАНАФАРМ ООО | ПРАНАФАРМ ООО,Торасемид,rx,Эналаприл,rx,Валсартан,rx,Атенолол,rx,,,,,,rx
ТОРАСЕМИД ТАБЛ. 10МГ №20 ОЗОН | ОЗОН ООО | ОЗОН ООО,Торасемид,rx,Торасемид,rx,,,Торасемид,rx,,,,,Торасемид,rx
ТОРАСЕМИД МЕДИСОРБ ТАБЛ. 5МГ №20 | Медисорб АО | Медисорб АО,Торасемид,rx,Оланзапин,rx,Ацетилсалициловая кислота + Кофеин + Парацетамол,otc,Лизиноприл,rx,Метформин,rx,,,,rx
ТОЛПЕРИЗОН ТАБЛ. П/ПЛЕН/ОБ. 150МГ №30 ОЗОН | ОЗОН ООО | ОЗОН ООО,Толперизон,rx,Толперизон,rx,,,Толперизон,rx,,,,,Толперизон,rx
ТЕРМИКОН СПРЕЙ Д/НАРУЖ. ПРИМ. 1% ФЛ. 30Г | ФАРМСТАНДАРТ-ЛЕКСРЕДСТВА ОАО | ФАРМСТАНДАРТ-ЛЕКСРЕДСТВА ОАО,Тербинафин,rx,Тербинафин,otc,Тербинафин,otc,Тербинафин,,Тербинафин,otc,,,Тербинафин,otc
ТЕРМИКОН КРЕМ Д/НАРУЖ. ПРИМ. 1% ТУБА 15Г | ЛЕККО ЗАО | ЛЕККО ЗАО,,otc,Тербинафин,otc,Тербинафин,otc,Тербинафин,,Тербинафин,otc,,,Тербинафин,otc
ТЕРАФЛЕКС КАПС. 500МГ+400МГ №200 МАКИЗ-ФАРМА | МАКИЗ-ФАРМА | МАКИЗ-ФАРМА,,otc,,,Глюкозамин+Хондроитин сульфат,otc,"Глюкозамин, Хондроитина сульфат",,Хондроитина сульфат натрия,otc,,,"Глюкозамин, Хондроитин сульфат, Хондроитина сульфат",otc
"ТАМСУЛОЗИН КАНОН КАПС. КИШ/РАСТ. ПРОЛОНГ. ВЫСВ. 0,4МГ №30 | КАНОНФАРМА ПРОДАКШН ЗАО | КАНОНФАРМА ПРОДАКШН ЗАО",Тамсулозин,rx,Тамсулозин,rx,Тамсулозин,rx,Тамсулозин,rx,Тамсулозин,rx,,,Тамсулозин,rx
ТАМОКСИФЕН ТАБЛ. 20МГ №30 ОЗОН | ОЗОН ООО | ОЗОН ООО,Тамоксифен,rx,Метронидазол,rx,Омепразол,rx,Мелоксикам,rx,Глицин,otc,,,,rx
ТАМИФЛЮ КАПС. 75МГ №10 | ДЕЛФАРМ МИЛАНО С.Р.Л./Ф.ХОФФМАНН-ЛЯ РОШ ЛТД/СЕНЕКСИ С.А.С. | ДЕЛФАРМ МИЛАНО С.Р.Л./Ф.ХОФФМАНН-ЛЯ РОШ ЛТД/СЕНЕКСИ С.А.С.,Осельтамивир,rx,Осельтамивир,rx,Осельтамивир,rx,,,Осельтамивир,rx,,,Осельтамивир,rx
"ТАДАЛАФИЛ-ТЕВА ТАБЛ. П/ПЛЕН/ОБ. 20МГ №8 | ТЕВА ФАРМА, С.Л.У. | ТЕВА ФАРМА, С.Л.У.",Тадалафил,rx,Аторвастатин,rx,Ксилометазолин,otc,Тадалафил,rx,Филграстим,rx,,,,rx
"ТАВОЛГА ВЯЗОЛИСТНАЯ (ЛАБАЗНИК) ТРАВА Ф/П 1,5Г №20 ХЕРБЕС | ХЕРБЕС ООО | ХЕРБЕС ООО",,БАД,,,Ромашки аптечной цветки,otc,,,,,,,Ромашки аптечной цветки,
