product_id,normalized_text,baseline_attr_mnn,input_explicit_mnn,input_explicit_mnn_confidence,identity_gate_status,previous_catalog_mnn,previous_enrichment_mnn,previous_enrichment_status,pass_action,new_enrichment_called,new_enrichment_status,retry_count,new_mnn_enriched,new_rx_otc_enriched,new_age_enriched,final_candidate_mnn,final_mnn_method,needs_human_review,evidence_urls,research_summary,raw_artifact_path,identity_enrichment_run_id
7625,РОСИНСУЛИН С МЕДСИНТЕЗ СУСП. ДЛЯ П/К ВВЕД. 100МЕ/МЛ КАРТРИДЖ 3МЛ №5 | ЗАВОД МЕДСИНТЕЗ ООО | ЗАВОД МЕДСИНТЕЗ ООО,Инсулин человеческий,,none,resolved_enrichment,,Инсулин человеческий,ok,reuse_existing_enrichment,false,,0,,,,Инсулин человеческий,enrichment,false,,pass_action=reuse_existing_enrichment; identity_gate_already_used_enrichment,redesign/artifacts/mnn_identity_enrichment_pass_searxng_raw.jsonl,461
7651,РОМАШКИ АПТЕЧНОЙ ЦВЕТКИ 50Г ХЕРБЕС | ХЕРБЕС ООО | ХЕРБЕС ООО,,,none,resolved_enrichment,,Ромашки аптечной цветки,ok,reuse_existing_enrichment,false,,0,,,,Ромашки аптечной цветки,enrichment,false,,pass_action=reuse_existing_enrichment; identity_gate_already_used_enrichment,redesign/artifacts/mnn_identity_enrichment_pass_searxng_raw.jsonl,461
7803,РОЗУВАСТАТИН-ТАД ТАБЛ. П/ПЛЕН/ОБ. 20МГ №30 | Крка-Рус ООО | Крка-Рус ООО,Розувастатин,Розувастатин,high,resolved_input_explicit,,,,skip_strong_input_mnn,false,,0,,,,Розувастатин,input_explicit_mnn,false,,pass_action=skip_strong_input_mnn; strong_input_explicit_accepted,redesign/artifacts/mnn_identity_enrichment_pass_searxng_raw.jsonl,461
7807,РОЗУВАСТАТИН ТАБЛ. П/ПЛЕН/ОБ. 5МГ №30 ПРАНАФАРМ | ПРАНАФАРМ ООО | ПРАНАФАРМ ООО,Розувастатин,Розувастатин,high,resolved_enrichment,,Розувастатин,ok,reuse_existing_enrichment,false,,0,,,,Розувастатин,input_plus_enrichment,false,,pass_action=reuse_existing_enrichment; identity_gate_already_used_enrichment,redesign/artifacts/mnn_identity_enrichment_pass_searxng_raw.jsonl,461
7816,РОЗУВАСТАТИН ТАБЛ. П/ПЛЕН/ОБ. 20МГ №90 ОЗОН | ОЗОН ООО | ОЗОН ООО,Розувастатин,Розувастатин,high,resolved_enrichment,,Розувастатин,ok,reuse_existing_enrichment,false,,0,,,,Розувастатин,input_plus_enrichment,false,,pass_action=reuse_existing_enrichment; identity_gate_already_used_enrichment,redesign/artifacts/mnn_identity_enrichment_pass_searxng_raw.jsonl,461
7858,РОЗУВАСТАТИН РЕНЕВАЛ ТАБЛ. П/ПЛЕН/ОБ. 10МГ №30 | ОБНОВЛЕНИЕ ПФК АО | ОБНОВЛЕНИЕ ПФК АО,Розувастатин,Розувастатин,high,resolved_enrichment,,Розувастатин,ok,reuse_existing_enrichment,false,,0,,,,Розувастатин,input_plus_enrichment,false,,pass_action=reuse_existing_enrichment; identity_gate_already_used_enrichment,redesign/artifacts/mnn_identity_enrichment_pass_searxng_raw.jsonl,461
8055,РИМАСОПТ ВМ КАПЛИ ГЛАЗНЫЕ 2МГ/МЛ+5МГ/МЛ ФЛ. 5МЛ №1 | Уорлд медицин илач сан. ве тидж. Аш | Уорлд медицин илач сан. ве тидж. Аш,,,none,resolved_enrichment,,"Бримонидин, Тимолол",ok,reuse_existing_enrichment,false,,0,,,,"Бримонидин, Тимолол",enrichment,false,,pass_action=reuse_existing_enrichment; identity_gate_already_used_enrichment,redesign/artifacts/mnn_identity_enrichment_pass_searxng_raw.jsonl,461
8566,РАБИЕТ КАПС. КИШ/РАСТ. 20МГ №14 АЛИУМ | АЛИУМ АО | АЛИУМ АО,,,none,resolved_enrichment,,Рабепразол,ok,reuse_existing_enrichment,false,,0,,,,Рабепразол,enrichment,false,,pass_action=reuse_existing_enrichment; identity_gate_already_used_enrichment,redesign/artifacts/mnn_identity_enrichment_pass_searxng_raw.jsonl,461
9096,"ПРЕДНИЗОЛОН МАЗЬ Д/НАРУЖ. ПРИМ. 0,5% ТУБА 15Г БИОСИНТЕЗ | БИОСИНТЕЗ ПАО | БИОСИНТЕЗ ПАО",Преднизолон,Преднизолон,high,resolved_enrichment,,Преднизолон,ok,reuse_existing_enrichment,false,,0,,,,Преднизолон,input_plus_enrichment,false,,pass_action=reuse_existing_enrichment; identity_gate_already_used_enrichment,redesign/artifacts/mnn_identity_enrichment_pass_searxng_raw.jsonl,461
9301,ПОЛЫНИ ГОРЬКОЙ ТРАВА 50Г ФИТОФАРМ | ФИТОФАРМ ООО | ФИТОФАРМ ООО,Полыни горькой трава,,none,resolved_enrichment,,Полыни горькой трава,ok,reuse_existing_enrichment,false,,0,,,,Полыни горькой трава,enrichment,false,,pass_action=reuse_existing_enrichment; identity_gate_already_used_enrichment,redesign/artifacts/mnn_identity_enrichment_pass_searxng_raw.jsonl,461
9306,ПОЛИФЕПАН ПОР. Д/ПРИЕМА ВНУТРЬ ПАК. 10Г №10 | ВОСТОК ООО | ВОСТОК ООО,,,none,resolved_enrichment,,Лигнин гидролизный,ok,reuse_existing_enrichment,false,,0,,,,Лигнин гидролизный,enrichment,false,,pass_action=reuse_existing_enrichment; identity_gate_already_used_enrichment,redesign/artifacts/mnn_identity_enrichment_pass_searxng_raw.jsonl,461
